myid = 23	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_frag_acc/rand24/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_frag_acc/
N_tr	1000
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846*1.0E4)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=1.32959e-05
initial mass depletion timescale =1.306925e+02 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  1	  1000	   894	1.489022675452464e-03	1.333521432163323e+00	1.990818754612219e-01
2.000000e+06	  1	  1000	   902	1.542915538365680e-03	2.371373705661654e+00	7.092941159606851e-01
3.000000e+06	  1	  1000	    31	1.733391748130415e-03	4.216965034285820e+00	4.450855769738687e-01
4.000000e+06	  1	  1000	   285	1.464920422576466e-03	5.623413251903486e+00	6.188461579981230e-01
5.000000e+06	  1	  1000	   293	1.866731721317915e-03	7.498942093324552e+00	3.237476376459001e-01
6.000000e+06	  1	  1000	   138	1.719458502905452e-03	7.498942093324552e+00	1.902304306297676e+00
7.000000e+06	  1	  1000	    61	1.513793928588733e-03	9.999999999999991e+00	9.665491010961046e-01
8.000000e+06	  1	  1000	   701	1.688411497785593e-03	9.999999999999991e+00	2.522546150851153e+00
9.000000e+06	  1	  1000	   220	1.454505555115175e-03	1.333521432163323e+01	7.620830297043242e-01
collision No.1	1.419872e+01[yr]	i=1, j=686	r_ij=6.338081225603868e-05	radius[1]+radius[686]=6.338481524341289e-05
dE_heat=-1.226242e-09	dE_grav=1.235337e-09	dE_c=-4.226054e-17	v_imp=3.078740e-01
1.000000e+07	  1	   999	   375	1.640878243425597e-03	1.333521432163323e+01	2.333645258177667e+00
1.100000e+07	  1	   999	   486	1.531351617005891e-03	1.333521432163323e+01	3.907361860783441e+00
1.200000e+07	  1	   999	    12	1.600100132274582e-03	1.778279410038921e+01	1.031541482434727e+00
1.300000e+07	  1	   999	   980	1.652819340998492e-03	1.778279410038921e+01	2.610191817481961e+00
1.400000e+07	  1	   999	   971	1.738086525812001e-03	1.778279410038921e+01	4.180322823988535e+00
1.500000e+07	  1	   999	     5	1.728366480914839e-03	1.778279410038921e+01	5.743308139162011e+00
1.600000e+07	  1	   999	   290	1.563392383238506e-03	2.371373705661653e+01	1.278853253947175e+00
collision No.2	2.521209e+01[yr]	i=1, j=189	r_ij=6.341512565128723e-05	radius[1]+radius[189]=6.353560603326413e-05
dE_heat=-1.200816e-09	dE_grav=1.208782e-09	dE_c=5.365489e-17	v_imp=3.091964e-01
collision No.3	2.617068e+01[yr]	i=1, j=732	r_ij=6.365819876830946e-05	radius[1]+radius[732]=6.368113520402915e-05
dE_heat=-1.114503e-09	dE_grav=1.132550e-09	dE_c=7.555724e-17	v_imp=3.083374e-01
1.700000e+07	  1	   997	    44	1.689533193246243e-03	2.371373705661653e+01	2.709182786922252e+00
collision No.4	2.778770e+01[yr]	i=1, j=529	r_ij=6.368054893403775e-05	radius[1]+radius[529]=6.381614871726481e-05
dE_heat=-1.181527e-09	dE_grav=1.187245e-09	dE_c=9.444480e-17	v_imp=3.112571e-01
1.800000e+07	  1	   996	   226	1.685130991094700e-03	2.371373705661653e+01	4.262477601583980e+00
1.900000e+07	  1	   996	   751	1.699758010970089e-03	2.371373705661653e+01	5.843312539896538e+00
2.000000e+07	  1	   996	   743	1.522645528560039e-03	2.371373705661653e+01	7.419773041467077e+00
2.100000e+07	  1	   996	   138	1.634200856666280e-03	3.162277660168376e+01	1.104188470995188e+00
2.200000e+07	  1	   996	   381	1.444253606105493e-03	3.162277660168376e+01	2.689027667190700e+00
2.300000e+07	  1	   996	   912	1.636042126566238e-03	3.162277660168376e+01	4.269077708910898e+00
2.400000e+07	  1	   996	   951	1.433854987411396e-03	3.162277660168376e+01	5.853420301006905e+00
2.500000e+07	  1	   996	   250	1.514844901704791e-03	3.162277660168376e+01	7.435466582469583e+00
2.600000e+07	  1	   996	   437	1.536835478769019e-03	3.162277660168376e+01	9.021199886124608e+00
collision No.5	4.175548e+01[yr]	i=1, j=827	r_ij=6.386651159183849e-05	radius[1]+radius[827]=6.395591204540766e-05
dE_heat=-1.082707e-09	dE_grav=1.091038e-09	dE_c=8.187215e-18	v_imp=3.114863e-01
2.700000e+07	  1	   995	   630	1.569922870834350e-03	4.216965034285818e+01	6.051218003181812e-02
2.800000e+07	  1	   995	   814	1.723582794859930e-03	4.216965034285818e+01	1.645536871413000e+00
2.900000e+07	  1	   995	   277	1.498444840851094e-03	4.216965034285818e+01	3.229665679642728e+00
3.000000e+07	  1	   995	    57	1.615418774979922e-03	4.216965034285818e+01	4.809067895916813e+00
3.100000e+07	  1	   995	   220	1.423125148291812e-03	4.216965034285818e+01	6.399656975923036e+00
3.200000e+07	  1	   995	   142	1.719624989636298e-03	4.216965034285818e+01	7.991140460361073e+00
3.300000e+07	  1	   995	   698	1.561637808252174e-03	4.216965034285818e+01	9.575464436586845e+00
3.400000e+07	  1	   995	   749	1.571374491602292e-03	4.216965034285818e+01	1.116839908008500e+01
3.500000e+07	  1	   995	   452	1.659068145747440e-03	4.216965034285818e+01	1.276115802378010e+01
3.600000e+07	  1	   995	   586	1.507317734420597e-03	5.623413251903484e+01	2.849370663519278e-01
3.700000e+07	  1	   995	   187	1.725641370974278e-03	5.623413251903484e+01	1.865058429716194e+00
3.800000e+07	  1	   995	   773	1.639648462694903e-03	5.623413251903484e+01	3.445057097271298e+00
3.900000e+07	  1	   995	   794	1.603258876911010e-03	5.623413251903484e+01	5.030770357122886e+00
4.000000e+07	  1	   995	   313	1.551297737340091e-03	5.623413251903484e+01	6.610994718680567e+00
4.100000e+07	  1	   995	    45	1.551215831778571e-03	5.623413251903484e+01	8.181551673881676e+00
4.200000e+07	  1	   995	   771	1.659658735280086e-03	5.623413251903484e+01	9.763704782839779e+00
4.300000e+07	  1	   995	   527	1.663469821584743e-03	5.623413251903484e+01	1.134840368783471e+01
4.400000e+07	  1	   995	   416	1.409402130625136e-03	5.623413251903484e+01	1.294023576265769e+01
4.500000e+07	  1	   995	   464	1.601746944313412e-03	5.623413251903484e+01	1.452458570825433e+01
4.600000e+07	  1	   995	   175	2.131917890886123e-03	5.623413251903484e+01	1.611198369745006e+01
4.700000e+07	  1	   995	    81	1.559210792464321e-03	5.623413251903484e+01	1.770146808978310e+01
4.800000e+07	  1	   995	   904	1.420431578201284e-03	7.498942093324548e+01	5.357840544937172e-01
4.900000e+07	  1	   995	   403	1.358144695044658e-03	7.498942093324548e+01	2.126460246889107e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+07	  1	   995	   676	1.563037655532655e-03	7.498942093324548e+01	3.715703811365647e+00
5.100000e+07	  1	   995	   952	1.608481342885302e-03	7.498942093324548e+01	5.297867664959877e+00
5.200000e+07	  1	   995	   467	1.597870198418961e-03	7.498942093324548e+01	6.886927743019280e+00
5.300000e+07	  1	   995	   964	1.623898462059094e-03	7.498942093324548e+01	8.458797024137015e+00
5.400000e+07	  1	   995	   443	1.336440942030225e-03	7.498942093324548e+01	1.004795727776038e+01
5.500000e+07	  1	   995	   429	1.643232912404362e-03	7.498942093324548e+01	1.163471650729941e+01
5.600000e+07	  1	   995	   764	1.642091664822245e-03	7.498942093324548e+01	1.321851282201142e+01
5.700000e+07	  1	   995	   180	2.009088275399144e-03	7.498942093324548e+01	1.479794018266024e+01
5.800000e+07	  1	   995	   514	1.883568700402693e-03	7.498942093324548e+01	1.637220924802014e+01
5.900000e+07	  1	   995	    85	1.505988945604706e-03	7.498942093324548e+01	1.796176844918226e+01
6.000000e+07	  1	   995	   367	1.428509076289301e-03	7.498942093324548e+01	1.954935486581066e+01
