OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_nofrag_rand2/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_nofrag_rand2/
N_tr	3000
N_p	3
RAND_SEED	2
STEP_INTERVAL	1.0E6
BREAK_TIME	43000.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	0
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	0.01
PLANET_INC	0.005
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	0.01
INC_RMS	0.005
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	0
DT_ENE	(2.0*3.14159265358979323846*1.0E0)
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
collision No.1	4.747450e-01[yr]	i=2, j=206	r_ij=6.325933528118418e-05	radius[2]+radius[206]=6.338481524341289e-05
1.000000e+06	  3	  3000	   545	1.497748246139563e-03	0.000000000000000e+00	5.295189487418928e-01
2.000000e+06	  3	  3000	   511	2.007261281508116e-03	1.000000000000000e+00	5.623032307965289e-02
3.000000e+06	  3	  3000	  1600	1.367090803002947e-03	1.000000000000000e+00	5.845689191513971e-01
collision No.2	1.630522e+00[yr]	i=1, j=2704	r_ij=6.332545241529736e-05	radius[1]+radius[2704]=6.338481524341289e-05
collision No.3	1.910499e+00[yr]	i=1, j=2654	r_ij=6.335592160837453e-05	radius[1]+radius[2654]=6.338481524341289e-05
4.000000e+06	  3	  3000	  2027	1.915682470688492e-03	2.000000000000000e+00	1.099692600109692e-01
collision No.4	2.221203e+00[yr]	i=3, j=948	r_ij=6.335286819371748e-05	radius[3]+radius[948]=6.338481524341289e-05
collision No.5	2.397107e+00[yr]	i=1, j=806	r_ij=6.337225380034062e-05	radius[1]+radius[806]=6.338481524341289e-05
5.000000e+06	  3	  3000	   665	1.480578969748921e-03	2.000000000000000e+00	6.328979719572180e-01
6.000000e+06	  3	  3000	     1	1.066281505249616e-05	3.000000000000000e+00	1.396724617191578e-01
7.000000e+06	  3	  3000	   619	1.514240562142885e-03	3.000000000000000e+00	6.228380073281539e-01
8.000000e+06	  3	  3000	  2567	1.715479449934678e-03	4.000000000000000e+00	9.724449263731881e-02
9.000000e+06	  3	  3000	   101	1.586639762386369e-03	4.000000000000000e+00	5.629167136068099e-01
1.000000e+07	  3	  3000	  1915	1.871141176495648e-03	5.000000000000000e+00	2.659288716246342e-02
1.100000e+07	  3	  3000	  1716	1.298169454229112e-03	5.000000000000000e+00	4.912894999602350e-01
1.200000e+07	  3	  3000	   142	2.043690905455552e-03	5.000000000000000e+00	9.537825692229429e-01
collision No.6	6.035365e+00[yr]	i=1, j=1970	r_ij=6.337425689809722e-05	radius[1]+radius[1970]=6.338481524341289e-05
1.300000e+07	  3	  3000	   528	1.477802930216626e-03	6.000000000000000e+00	4.627764851625134e-01
1.400000e+07	  3	  3000	  2374	1.527291906027777e-03	6.000000000000000e+00	9.894850308622569e-01
1.500000e+07	  3	  3000	  1447	1.602999341408894e-03	7.000000000000000e+00	5.163574360759952e-01
1.600000e+07	  3	  3000	  2910	1.880087933080623e-03	8.000000000000000e+00	4.379199398521648e-02
collision No.7	8.324003e+00[yr]	i=3, j=2008	r_ij=6.324277184581581e-05	radius[3]+radius[2008]=6.338481524341289e-05
1.700000e+07	  3	  3000	  2611	1.982745219470228e-03	8.000000000000000e+00	5.698144304518211e-01
1.800000e+07	  3	  3000	   319	2.056715562985661e-03	9.000000000000000e+00	9.835398697457950e-02
1.900000e+07	  3	  3000	  1448	1.272626674754604e-03	9.000000000000000e+00	6.281242058235141e-01
2.000000e+07	  3	  3000	   250	1.400210794658607e-03	1.000000000000000e+01	1.536471068356684e-01
2.100000e+07	  3	  3000	   489	1.612594737050710e-03	1.000000000000000e+01	6.825341692059648e-01
2.200000e+07	  3	  3000	   626	1.652421125045479e-03	1.100000000000000e+01	2.081917169593702e-01
2.300000e+07	  3	  3000	  2377	1.436195804632728e-03	1.100000000000000e+01	7.334223186257642e-01
2.400000e+07	  3	  3000	   346	1.428536188057537e-03	1.200000000000000e+01	2.598224208551527e-01
2.500000e+07	  3	  3000	  2804	1.738995428198436e-03	1.200000000000000e+01	7.869386028741937e-01
collision No.8	1.322561e+01[yr]	i=3, j=2905	r_ij=6.324951152283962e-05	radius[3]+radius[2905]=6.338481524341289e-05
2.600000e+07	  3	  3000	  1911	1.549271618632909e-03	1.300000000000000e+01	3.078034859716389e-01
