myid = 0	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_acc/rand01/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_acc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*3.0)
PLANET_INC	((0.01*3.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*3.0)
INC_RMS	((0.01*3.0)*0.5)
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-18
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=5.81724e-07
initial mass depletion timescale =2.949336e-01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	  2623	1.951494766351603e-03	4.216965034285821e-01	8.233303030950156e-02
2.000000e+06	  3	  3000	  1399	1.795037262893228e-03	9.999999999999994e-01	2.739160947175632e-02
3.000000e+06	  3	  3000	   245	1.633616606333304e-03	1.333521432163323e+00	2.209956441516238e-01
4.000000e+06	  3	  3000	   943	1.221871205693517e-03	1.778279410038922e+00	3.027365863361052e-01
5.000000e+06	  3	  3000	  1420	1.294031126585128e-03	2.371373705661654e+00	2.348477652296129e-01
6.000000e+06	  3	  3000	  1054	1.397374251232225e-03	2.371373705661654e+00	7.631499260085112e-01
7.000000e+06	  3	  3000	   721	1.204991137501379e-03	3.162277660168377e+00	4.979848607452123e-01
8.000000e+06	  3	  3000	  1539	1.359738049780939e-03	3.162277660168377e+00	1.026190869687259e+00
9.000000e+06	  3	  3000	  2790	1.949885717065346e-03	4.216965034285820e+00	4.972456212234765e-01
1.000000e+07	  3	  3000	  2416	2.111981690585433e-03	4.216965034285820e+00	1.023634132689269e+00
1.100000e+07	  3	  3000	  1496	1.568730722662157e-03	5.623413251903486e+00	1.438327307103144e-01
1.200000e+07	  3	  3000	  2587	1.671154975954681e-03	5.623413251903486e+00	6.701014929565072e-01
1.300000e+07	  3	  3000	  1471	1.800139024238007e-03	5.623413251903486e+00	1.198068124845301e+00
1.400000e+07	  3	  3000	  2652	1.313017130408843e-03	5.623413251903486e+00	1.725202464804403e+00
1.500000e+07	  3	  3000	  2930	1.602662650828080e-03	7.498942093324552e+00	3.759367599350775e-01
1.600000e+07	  3	  3000	   774	1.409691591170808e-03	7.498942093324552e+00	9.027498322381503e-01
1.700000e+07	  3	  3000	  2055	1.652646287519367e-03	7.498942093324552e+00	1.430884968601741e+00
1.800000e+07	  3	  3000	   363	1.457210398212228e-03	7.498942093324552e+00	1.957443158661092e+00
1.900000e+07	  3	  3000	   792	2.102350140965917e-03	7.498942093324552e+00	2.485032346856408e+00
2.000000e+07	  3	  3000	   725	1.480759808586971e-03	9.999999999999991e+00	5.090670578036655e-01
2.100000e+07	  3	  3000	   973	1.674457120825600e-03	9.999999999999991e+00	1.036262577562660e+00
2.200000e+07	  3	  3000	  1199	1.588828589919117e-03	9.999999999999991e+00	1.562379882347206e+00
2.300000e+07	  3	  3000	  1150	1.396254396930078e-03	9.999999999999991e+00	2.088235463264776e+00
2.400000e+07	  3	  3000	  1912	1.146346198243785e-03	9.999999999999991e+00	2.616282253858054e+00
2.500000e+07	  3	  3000	   739	1.647367962289387e-03	9.999999999999991e+00	3.142548899373923e+00
2.600000e+07	  3	  3000	  1520	1.384723858114159e-03	1.333521432163323e+01	3.345278531004232e-01
2.700000e+07	  3	  3000	  2427	1.618344350323471e-03	1.333521432163323e+01	8.617424385240041e-01
2.800000e+07	  3	  3000	  2164	1.262096447322315e-03	1.333521432163323e+01	1.389633215884964e+00
2.900000e+07	  3	  3000	  2822	1.533211838891491e-03	1.333521432163323e+01	1.916315165938794e+00
collision No.1	1.535315e+01[yr]	i=2, j=496	r_ij=6.315134031212199e-05	radius[2]+radius[496]=6.338481524341289e-05
dE_heat=-4.098351e-11	dE_grav=4.084412e-11	dE_c=1.593845e-19	v_imp=3.088065e-01
3.000000e+07	  3	  2999	   532	1.316438989019737e-03	1.333521432163323e+01	2.442660692979725e+00
3.100000e+07	  3	  2999	   502	1.076948735373449e-03	1.333521432163323e+01	2.968842335824024e+00
3.200000e+07	  3	  2999	  1153	1.406709742235428e-03	1.333521432163323e+01	3.495725145585549e+00
3.300000e+07	  3	  2999	  1808	1.601341421007615e-03	1.333521432163323e+01	4.022196361579529e+00
3.400000e+07	  3	  2999	  2579	1.335107369213176e-03	1.778279410038921e+01	1.009457223383836e-01
3.500000e+07	  3	  2999	  1564	1.889499163318254e-03	1.778279410038921e+01	6.282189090927670e-01
3.600000e+07	  3	  2999	   395	1.560675463241256e-03	1.778279410038921e+01	1.155122387114434e+00
3.700000e+07	  3	  2999	  2761	1.332669717691803e-03	1.778279410038921e+01	1.682086318095516e+00
3.800000e+07	  3	  2999	     8	1.581179798412314e-03	1.778279410038921e+01	2.209481040596545e+00
3.900000e+07	  3	  2999	  1473	1.850124053663172e-03	1.778279410038921e+01	2.736748809614118e+00
4.000000e+07	  3	  2999	   306	1.424005464007391e-03	1.778279410038921e+01	3.264791921610164e+00
4.100000e+07	  3	  2999	  2253	1.289348162891963e-03	1.778279410038921e+01	3.791513719436378e+00
4.200000e+07	  3	  2999	   596	2.152619947507722e-03	1.778279410038921e+01	4.317357810958080e+00
4.300000e+07	  3	  2999	   143	1.227336064187613e-03	1.778279410038921e+01	4.845032193805526e+00
4.400000e+07	  3	  2999	  1209	1.457545452322308e-03	1.778279410038921e+01	5.372035359786251e+00
4.500000e+07	  3	  2999	   117	1.560159417940950e-03	1.778279410038921e+01	5.898998978671615e+00
4.600000e+07	  3	  2999	  1482	1.297940996011846e-03	2.371373705661653e+01	4.934788854600904e-01
4.700000e+07	  3	  2999	  1942	1.601687495515705e-03	2.371373705661653e+01	1.020213293951471e+00
4.800000e+07	  3	  2999	  2206	1.288370865489813e-03	2.371373705661653e+01	1.546916198673812e+00
4.900000e+07	  3	  2999	   106	1.908228567101016e-03	2.371373705661653e+01	2.073818361336776e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+07	  3	  2999	  1028	1.488604701819741e-03	2.371373705661653e+01	2.600703717244130e+00
5.100000e+07	  3	  2999	  2959	1.830759547441430e-03	2.371373705661653e+01	3.126326567929694e+00
5.200000e+07	  3	  2999	  2278	1.591310468395079e-03	2.371373705661653e+01	3.652934376841101e+00
5.300000e+07	  3	  2999	  2957	1.551605275209152e-03	2.371373705661653e+01	4.181002785842777e+00
5.400000e+07	  3	  2999	   670	1.621830525528812e-03	2.371373705661653e+01	4.708653027409023e+00
5.500000e+07	  3	  2999	  1205	1.406300126509284e-03	2.371373705661653e+01	5.235077470332405e+00
5.600000e+07	  3	  2999	  2507	1.722781192452649e-03	2.371373705661653e+01	5.762531343703295e+00
5.700000e+07	  3	  2999	   282	1.406533649974541e-03	2.371373705661653e+01	6.290251743518577e+00
5.800000e+07	  3	  2999	   784	1.918443973328521e-03	2.371373705661653e+01	6.817485126849055e+00
5.900000e+07	  3	  2999	  2136	1.658950812877801e-03	2.371373705661653e+01	7.344302267079111e+00
6.000000e+07	  3	  2999	   608	1.606555859530883e-03	2.371373705661653e+01	7.871247388865936e+00
6.100000e+07	  3	  2999	   188	1.254059454625143e-03	3.162277660168376e+01	4.878957645631585e-01
6.200000e+07	  3	  2999	   962	1.838655139229186e-03	3.162277660168376e+01	1.014739626986910e+00
6.300000e+07	  3	  2999	  2097	2.147158017773928e-03	3.162277660168376e+01	1.542437512225635e+00
6.400000e+07	  3	  2999	  1937	1.858585375490418e-03	3.162277660168376e+01	2.068781122245644e+00
6.500000e+07	  3	  2999	  2003	2.136920476477369e-03	3.162277660168376e+01	2.597140057686382e+00
6.600000e+07	  3	  2999	  2609	1.788094704752714e-03	3.162277660168376e+01	3.122508488140483e+00
6.700000e+07	  3	  2999	  2789	1.072430355573638e-03	3.162277660168376e+01	3.649973498205394e+00
6.800000e+07	  3	  2999	  1647	1.446638236480771e-03	3.162277660168376e+01	4.177113257999776e+00
6.900000e+07	  3	  2999	  1563	1.679342728276938e-03	3.162277660168376e+01	4.703923411134637e+00
7.000000e+07	  3	  2999	  2244	1.422489280670410e-03	3.162277660168376e+01	5.231247609097468e+00
7.100000e+07	  3	  2999	   287	1.311396168616621e-03	3.162277660168376e+01	5.756636741438488e+00
7.200000e+07	  3	  2999	   299	1.435057814336089e-03	3.162277660168376e+01	6.283639093794373e+00
7.300000e+07	  3	  2999	  2484	1.808889805668332e-03	3.162277660168376e+01	6.810713322641329e+00
7.400000e+07	  3	  2999	  1700	1.709744723163456e-03	3.162277660168376e+01	7.337500835848796e+00
7.500000e+07	  3	  2999	  2089	1.808681696521434e-03	3.162277660168376e+01	7.864152816769539e+00
7.600000e+07	  3	  2999	  2697	1.323311690201694e-03	3.162277660168376e+01	8.390859511055487e+00
7.700000e+07	  3	  2999	   914	1.608471917877233e-03	3.162277660168376e+01	8.916393559965947e+00
7.800000e+07	  3	  2999	  2209	1.722402643484108e-03	3.162277660168376e+01	9.443107760716062e+00
