myid = 6	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_acc/rand07/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_acc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*3.0)
PLANET_INC	((0.01*3.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*3.0)
INC_RMS	((0.01*3.0)*0.5)
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-18
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=5.81724e-07
initial mass depletion timescale =3.015328e-01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	  1472	1.456589298181791e-03	4.216965034285821e-01	7.898111844846345e-02
2.000000e+06	  3	  3000	  2600	1.460040132996561e-03	9.999999999999994e-01	2.387895745004669e-02
3.000000e+06	  3	  3000	  1491	1.702588366370679e-03	1.333521432163323e+00	2.189500115747937e-01
4.000000e+06	  3	  3000	   678	2.156775274461643e-03	1.778279410038922e+00	3.015176931669874e-01
collision No.1	2.377015e+00[yr]	i=1, j=2144	r_ij=6.336745565913419e-05	radius[1]+radius[2144]=6.338481524341289e-05
dE_heat=-1.953092e-10	dE_grav=1.941339e-10	dE_c=-2.597127e-18	v_imp=3.088515e-01
5.000000e+06	  3	  2999	   433	1.634064607527907e-03	2.371373705661654e+00	2.364199895227535e-01
6.000000e+06	  3	  2999	  2563	1.691236423958163e-03	2.371373705661654e+00	7.651988723228907e-01
7.000000e+06	  3	  2999	  2617	1.398151435988691e-03	3.162277660168377e+00	5.026550716537164e-01
8.000000e+06	  3	  2999	  1428	1.474412162705331e-03	3.162277660168377e+00	1.031224429314913e+00
9.000000e+06	  3	  2999	  1826	2.120398522464959e-03	4.216965034285820e+00	5.043458416435691e-01
1.000000e+07	  3	  2999	  1009	1.849408407976975e-03	4.216965034285820e+00	1.032507245576646e+00
1.100000e+07	  3	  2999	  1643	1.843063392988224e-03	5.623413251903486e+00	1.537688597069992e-01
1.200000e+07	  3	  2999	  1804	1.961565944697319e-03	5.623413251903486e+00	6.815270255661743e-01
1.300000e+07	  3	  2999	  1312	1.044030849525913e-03	5.623413251903486e+00	1.211317034478873e+00
1.400000e+07	  3	  2999	   658	1.384217763490933e-03	5.623413251903486e+00	1.737389613179007e+00
1.500000e+07	  3	  2999	    64	2.338406236534423e-03	7.498942093324552e+00	3.908555606727664e-01
1.600000e+07	  3	  2999	  2440	1.250860022926027e-03	7.498942093324552e+00	9.185137878641724e-01
1.700000e+07	  3	  2999	  1297	1.748178690079912e-03	7.498942093324552e+00	1.446956768215198e+00
