myid = 0	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc5E-2_frag_acc/rand01/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc5E-2_frag_acc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-18
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=5.81724e-07
initial mass depletion timescale =1.368372e-01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	   654	1.891095624461226e-03	4.216965034285821e-01	7.055009629439107e-02
2.000000e+06	  3	  3000	  2995	1.487139942483449e-03	9.999999999999994e-01	1.271990806144633e-02
3.000000e+06	  3	  3000	   725	1.582791926823023e-03	1.333521432163323e+00	2.037538741053249e-01
4.000000e+06	  3	  3000	  1803	1.853732228465201e-03	1.778279410038922e+00	2.829850785706798e-01
5.000000e+06	  3	  3000	  2705	1.270363203560605e-03	2.371373705661654e+00	2.130901320458156e-01
6.000000e+06	  3	  3000	  1290	1.707105002956098e-03	2.371373705661654e+00	7.392868771555574e-01
7.000000e+06	  3	  3000	  1148	1.677371504908675e-03	3.162277660168377e+00	4.707574186503812e-01
8.000000e+06	  3	  3000	  1926	1.988661583202618e-03	3.162277660168377e+00	9.963016139684070e-01
9.000000e+06	  3	  3000	  1764	1.612263287359310e-03	4.216965034285820e+00	4.652108047815862e-01
1.000000e+07	  3	  3000	  2210	1.285698166773902e-03	4.216965034285820e+00	9.895938554566888e-01
1.100000e+07	  3	  3000	  1857	2.095996318769726e-03	5.623413251903486e+00	1.076584959366015e-01
1.200000e+07	  3	  3000	   689	1.159455178262429e-03	5.623413251903486e+00	6.313440939872775e-01
1.300000e+07	  3	  3000	   930	1.331623776023312e-03	5.623413251903486e+00	1.156662289792999e+00
1.400000e+07	  3	  3000	  2834	1.637335478771142e-03	5.623413251903486e+00	1.679548490490340e+00
1.500000e+07	  3	  3000	   137	1.540030192693584e-03	7.498942093324552e+00	3.284980077653193e-01
1.600000e+07	  3	  3000	  1497	1.651949147787571e-03	7.498942093324552e+00	8.518558866238811e-01
1.700000e+07	  3	  3000	   469	1.282485361486484e-03	7.498942093324552e+00	1.377322040421156e+00
1.800000e+07	  3	  3000	  1303	1.390356582541359e-03	7.498942093324552e+00	1.900562769721502e+00
1.900000e+07	  3	  3000	  1505	1.683735230043724e-03	7.498942093324552e+00	2.425791069479555e+00
2.000000e+07	  3	  3000	  1133	1.440929615293356e-03	9.999999999999991e+00	4.473745831624912e-01
2.100000e+07	  3	  3000	  2719	1.146364675695664e-03	9.999999999999991e+00	9.714540223967623e-01
2.200000e+07	  3	  3000	   806	2.016042407639317e-03	9.999999999999991e+00	1.495856768470753e+00
2.300000e+07	  3	  3000	  2575	1.185693191684618e-03	9.999999999999991e+00	2.019637733906700e+00
2.400000e+07	  3	  3000	   594	1.684129656296211e-03	9.999999999999991e+00	2.544438477713578e+00
2.500000e+07	  3	  3000	   475	1.241435329358284e-03	9.999999999999991e+00	3.067800981119534e+00
2.600000e+07	  3	  3000	  1178	1.411684388969578e-03	1.333521432163323e+01	2.577247837534786e-01
2.700000e+07	  3	  3000	  1004	1.696756934396740e-03	1.333521432163323e+01	7.805994520811723e-01
2.800000e+07	  3	  3000	  1088	1.757267828113783e-03	1.333521432163323e+01	1.306275801196904e+00
2.900000e+07	  3	  3000	  1858	1.578773359278039e-03	1.333521432163323e+01	1.828940542013233e+00
3.000000e+07	  3	  3000	     2	2.064414402983190e-03	1.333521432163323e+01	2.352242905278502e+00
3.100000e+07	  3	  3000	   875	1.550976407675144e-03	1.333521432163323e+01	2.875908456041472e+00
3.200000e+07	  3	  3000	   571	1.864751203563426e-03	1.333521432163323e+01	3.399212133001793e+00
3.300000e+07	  3	  3000	   127	1.104871500290383e-03	1.333521432163323e+01	3.923472771238804e+00
3.400000e+07	  3	  3000	   303	2.102257311041484e-03	1.333521432163323e+01	4.447304398399017e+00
3.500000e+07	  3	  3000	   201	1.207524930137295e-03	1.778279410038921e+01	5.240597763562018e-01
3.600000e+07	  3	  3000	   288	1.309985777532153e-03	1.778279410038921e+01	1.047171059856036e+00
3.700000e+07	  3	  3000	   701	1.331756598676991e-03	1.778279410038921e+01	1.572329861448357e+00
3.800000e+07	  3	  3000	  1265	1.569757755820755e-03	1.778279410038921e+01	2.096293384964734e+00
3.900000e+07	  3	  3000	   274	1.640173667388302e-03	1.778279410038921e+01	2.620190935070546e+00
4.000000e+07	  3	  3000	  2725	1.267020362143708e-03	1.778279410038921e+01	3.143753884624342e+00
4.100000e+07	  3	  3000	  2012	1.416058121082030e-03	1.778279410038921e+01	3.666669002177211e+00
4.200000e+07	  3	  3000	  1859	1.740503767103290e-03	1.778279410038921e+01	4.191158505177341e+00
4.300000e+07	  3	  3000	  1249	1.938125681500338e-03	1.778279410038921e+01	4.714821155720002e+00
4.400000e+07	  3	  3000	  2146	1.868598119779951e-03	1.778279410038921e+01	5.240183896623746e+00
4.500000e+07	  3	  3000	  1138	2.505323200564567e-03	1.778279410038921e+01	5.763758771778166e+00
4.600000e+07	  3	  3000	  2851	1.972208372534543e-03	2.371373705661653e+01	3.571578810361687e-01
4.700000e+07	  3	  3000	  2577	1.692527136043668e-03	2.371373705661653e+01	8.799406572596491e-01
4.800000e+07	  3	  3000	  2459	1.410471672251527e-03	2.371373705661653e+01	1.405519654134028e+00
4.900000e+07	  3	  3000	  1318	1.966984736498698e-03	2.371373705661653e+01	1.928428838098922e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+07	  3	  3000	  2333	1.180005991895021e-03	2.371373705661653e+01	2.453264041551622e+00
5.100000e+07	  3	  3000	  1046	1.387334568285298e-03	2.371373705661653e+01	2.977128486453477e+00
5.200000e+07	  3	  3000	  1879	2.005671973726323e-03	2.371373705661653e+01	3.501240187745929e+00
5.300000e+07	  3	  3000	   917	1.510407207189346e-03	2.371373705661653e+01	4.025669240647860e+00
5.400000e+07	  3	  3000	  2473	1.629164916755451e-03	2.371373705661653e+01	4.550330355370964e+00
5.500000e+07	  3	  3000	    65	1.359445754228042e-03	2.371373705661653e+01	5.074352049720869e+00
